"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"com.oracle.weblogic.rewrite.jakarta.JavaxFacesTagLibraryXmlToJakartaFaces3TagLibraryXml","366","278","0","0.0","0","38241","0.99","1032"
"org.openrewrite.java.migrate.lang.MigrateClassLoaderDefineClass","366","278","0","0.0","0","57831846","0.99","7378831"
"org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs","366","278","0","0.0","0","49101","0.99","981"
"org.openrewrite.java.migrate.lang.JavaLangAPIs","366","278","0","0.0","0","67590","0.99","10632"
"org.openrewrite.java.migrate.IllegalArgumentExceptionToAlreadyConnectedException","366","278","0","0.0","0","440009","0.99","10439"
"org.openrewrite.java.migrate.DeleteDeprecatedFinalize","366","278","0","0.0","0","44307","0.99","791"
"org.openrewrite.xml.ChangeTagValue","2562","278","0","0.0","0","54144820","0.99","8257114"
"org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","366","278","0","0.0","0","35881","0.99","521"
"org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic","366","278","0","0.0","0","52053","0.99","752"
"org.openrewrite.java.migrate.jakarta.JavaxEEApiToJakarta","366","278","0","0.0","0","44362","0.99","751"
"org.openrewrite.java.migrate.nio.file.PathsGetToPathOf","366","278","0","0.0","0","36569","0.99","952"
"org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl","366","278","0","0.0","0","35511","0.99","561"
"org.openrewrite.java.migrate.jakarta.JavaxAuthenticationMigrationToJakartaAuthentication","366","278","0","0.0","0","88499","0.99","48723"
"org.openrewrite.java.ChangeMethodName","17568","278","0","0.0","0","964180672","0.99","20865575"
"org.openrewrite.java.migrate.lombok.UpdateLombokToJava11","366","278","0","0.0","0","68105","0.99","952"
"org.openrewrite.java.migrate.javax.AddCommonAnnotationsDependencies","366","278","0","0.0","0","36202","0.99","2105"
